type,circuit,level,name,comment,qq,zz,pbsb,id,*name,part,type,divisor/values,unit,comment
*r,
*w,
*u,
r2,,,VentilationLevelDay,Lüfterstufe Tag,,,b509,0d8a03,value,,UCH,,,
w,,,VentilationLevelDay,Lüfterstufe Tag,,,b509,0e8a03,value,,UCH,,,
r2,,,VentilationLevelNight,Lüfterstufe Nacht,,,b509,0d8b03,value,,UCH,,,
w,,,VentilationLevelNight,Lüfterstufe Nacht,,,b509,0e8b03,value,,UCH,,,
r2,,,HeatRecovery,Wärmerückgewinnung,,,b509,0d8c03,value,,UCH,0=auto;1=on;2=off,,
w,,,HeatRecovery,Wärmerückgewinnung,,,b509,0e8c03,value,,UCH,0=auto;1=on;2=off,,
r9,,,FrostProtection,frost protection element active,,,b509,0df10c,value,,UCH,0=off;1=on,,
u,,,FrostProtection,frost protection element active,,,b509,29f10c,ign,,IGN:2,,,,value,,UCH,0=off;1=on,,
r,,,FilterChangeDaysLeft,Tage bis Filterwechsel,,,b509,0d350e,value,,UIN,,days,
w,,,FilterChangeDaysLeft,Tage bis Filterwechsel,,,b509,0e350e,value,,UIN,,days,
r,,,MaintenanceDaysLeft,Tage bis Wartung,,,b509,0d360e,value,,UIN,,days,
w,,,MaintenanceDaysLeft,Tage bis Wartung,,,b509,0e360e,value,,UIN,,days,
r,,,YieldToday,Energieertrag heute,,,b509,0d560e,value,,ULG,10,kWh,
r,,,YieldYesterday,Energieertrag Vortag,,,b509,0d570e,value,,ULG,10,kWh,
r,,,YieldMonth,Energieertrag Monat,,,b509,0d580e,value,,ULG,10,kWh,
r,,,YieldYear,Energieertrag Jahr,,,b509,0d590e,value,,ULG,,kWh,
r,,,YieldTotal,Energieertrag gesamt,,,b509,0d5a0e,value,,ULG,,kWh,
r,,,InstallationHeight,Installationshöhe,,,b509,0d1a0e,value,,UIN,,m,
w,,,InstallationHeight,Installationshöhe,,,b509,0e1a0e,value,,UIN,,m,
r,,,ExhaustAirDisbalance,Disbalance Abluft,,,b509,0d1b0e,value,,SCH,,%,
w,,,ExhaustAirDisbalance,Disbalance Abluft,,,b509,0e1b0e,value,,SCH,,%,
r,,,NominalFlow,Nennvolumenstrom NL,,,b509,0d1c0e,value,,UIN,,m3/h,
w,,,NominalFlow,Nennvolumenstrom NL,,,b509,0e1c0e,value,,UIN,,m3/h,
r,,,ReducedVolumeFlow,Reduzierte Lüftung zu NL,,,b509,0d1d0e,value,,D2C,,%,
w,,,ReducedVolumeFlow,Reduzierte Lüftung zu NL,,,b509,0e1d0e,value,,D2C,,%,
r,,,IntensiveVolumeFlow,Intensive ventilation to NL,,,b509,0d1e0e,value,,D2C,,%,
w,,,IntensiveVolumeFlow,Intensive ventilation to NL,,,b509,0e1e0e,value,,D2C,,%,
r,,,HeadExchangerType,Wärmetauschertyp,,,b509,0d250e,value,,UCH,0=Standard;1=Enthalpy,,
w,,,HeadExchangerType,Wärmetauschertyp,,,b509,0e250e,value,,UCH,0=Standard;1=Enthalpy,,
r,,,FrostProtectionElement,Frostschutzelement,,,b509,0d260e,value,,UCH,0=unavailable;1=electrical;2=hydraulic,,
w,,,FrostProtectionElement,Frostschutzelement,,,b509,0e260e,value,,UCH,0=unavailable;1=electrical;2=hydraulic,,
