type,circuit,level,name,comment,qq,zz,pbsb,id,*name,part,type,divisor/values,unit,comment
*r,
*w,
*[id_sw],scan,,,,SW
[id_sw>=201]r,,,DisplayedRoomTemp,Raumtemperatur Ist: Aktuelle Raumtemperatur,,,b509,0d3e00,value,,D2C,,°C,Temperatur
[id_sw=102-131]r,,,RoomTemp,Raumisttemp: Rohwert Raumtemperatur,,,b509,0d0000,temp,,D2C,,°C,Temperatur,sensor,,UCH,0=ok;85=circuit;170=cutoff,,Fühlerstatus
r,,,OutsideTemp,Außentemp. Sensor: Außentemperatur und Sensorstatus,,,b509,0d0300,temp,,D2C,,°C,Temperatur,sensor,,UCH,0=ok;85=circuit;170=cutoff,,Fühlerstatus
r,,,OperatingMode,Betriebsart,,,b509,0d0500,value,,UCH,0=disabled;1=on;2=off;3=auto;4=eco;5=low,,Mischer Modus
w,,,OperatingMode,Betriebsart,,,b509,0e0500,value,,UCH,0=disabled;1=on;2=off;3=auto;4=eco;5=low,,Mischer Modus
r,,,ActualWeekday,Aktueller Wochentag,,,b509,0d0600,value,,BDY,,,Wochentag
w,,,ActualWeekday,Aktueller Wochentag,,,b509,0e0600,value,,BDY,,,Wochentag
r,,,Time,Aktuelle Uhrzeit,,,b509,0d0700,value,,VTI,,,Uhrzeit
w,,,Time,Aktuelle Uhrzeit,,,b509,0e0700,value,,VTI,,,Uhrzeit
r,,,ReducedNightTemp,Nachttemperatur: drop temperature setpoint,,,b509,0d0800,value,,D2C,,°C,Temperatur
w,,,ReducedNightTemp,Nachttemperatur: drop temperature setpoint,,,b509,0e0800,value,,D2C,,°C,Temperatur
r,,,YearCalendarActive,Jahreskalender: Automatische Umschaltung Sommer-Winterzeit,,,b509,0d0b00,value,,UCH,0=off;1=on,,
w,,install,YearCalendarActive,Jahreskalender: Automatische Umschaltung Sommer-Winterzeit,,,b509,0e0b00,value,,UCH,0=off;1=on,,
r,,,Date,Datum: current date (calendar must be enabled previously!),,,b509,0d0d00,value,,HDA:3,,,Datum
w,,,Date,Datum: current date (calendar must be enabled previously!),,,b509,0e0d00,value,,HDA:3,,,Datum
r,,,IsInHoliday,Ferienprogramm aktiv: Restliche Urlaubstage,,,b509,0d1100,value,,UCH,,,
r,,,IsInQuickVeto,Quick Veto aktiv: Quick Veto Funktion aktiv,,,b509,0d1600,value,,UCH,0=off;1=on,,
r,,,QuickVetoTemp,Quick Veto Temp: room temperature setpoint during activated quick veto function,,,b509,0d1700,value,,D2C,,°C,Temperatur
r,,,HwcTempDesired,WW Sollwert,,,b509,0d1e00,value,,D2C,,°C,Temperatur
w,,,HwcTempDesired,WW Sollwert,,,b509,0e1e00,value,,D2C,,°C,Temperatur
r,,,ComfTempDesired,Komforttemp,,,b509,0d2000,temp,,D2C,,°C,Raumsollwert,temp_1,,D2C,,°C,Temperatur,temp_2,,D2C,,°C,Temperatur,temp_3,,D2C,,°C,Temperatur
w,,,ComfTempDesired,Komforttemp,,,b509,0e2000,temp,,D2C,,°C,Raumsollwert,temp_1,,D2C,,°C,Temperatur,temp_2,,D2C,,°C,Temperatur,temp_3,,D2C,,°C,Temperatur
r,,,RoomTempOffset,Raumisttemp. Korrekturwert: Korrekturwert der Raumtemperaturanzeige,,,b509,0d0200,value,,D2C,,°C,Temperatur
