type,circuit,level,name,comment,qq,zz,pbsb,id,*name,part,type,divisor/values,unit,comment
*r,
*w,
r,,,Storage1Sensor,Speicherfühler 1,,,b509,0d0000,temp,,D2C,,°C,Temperatur,sensor,,UCH,0=ok;85=circuit;170=cutoff,,Fühlerstatus
w,,install,Storage1Sensor,Speicherfühler 1,,,b509,0e0000,temp,,D2C,,°C,Temperatur,sensor,,UCH,0=ok;85=circuit;170=cutoff,,Fühlerstatus
r,,,Storage2Sensor,Speicherfühler 2,,,b509,0d0100,temp,,D2C,,°C,Temperatur,sensor,,UCH,0=ok;85=circuit;170=cutoff,,Fühlerstatus
w,,install,Storage2Sensor,Speicherfühler 2,,,b509,0e0100,temp,,D2C,,°C,Temperatur,sensor,,UCH,0=ok;85=circuit;170=cutoff,,Fühlerstatus
r,,,Storage3Sensor,Speicherfühler 3,,,b509,0d0200,temp,,D2C,,°C,Temperatur,sensor,,UCH,0=ok;85=circuit;170=cutoff,,Fühlerstatus
w,,install,Storage3Sensor,Speicherfühler 3,,,b509,0e0200,temp,,D2C,,°C,Temperatur,sensor,,UCH,0=ok;85=circuit;170=cutoff,,Fühlerstatus
r,,,Coll1Sensor,Kollektorfühler 1,,,b509,0d0300,temp,,D2C,,°C,Temperatur,sensor,,UCH,0=ok;85=circuit;170=cutoff,,Fühlerstatus
w,,install,Coll1Sensor,Kollektorfühler 1,,,b509,0e0300,temp,,D2C,,°C,Temperatur,sensor,,UCH,0=ok;85=circuit;170=cutoff,,Fühlerstatus
r,,,Coll2Sensor,Kollektorfühler 2,,,b509,0d0400,temp,,D2C,,°C,Temperatur,sensor,,UCH,0=ok;85=circuit;170=cutoff,,Fühlerstatus
w,,install,Coll2Sensor,Kollektorfühler 2,,,b509,0e0400,temp,,D2C,,°C,Temperatur,sensor,,UCH,0=ok;85=circuit;170=cutoff,,Fühlerstatus
r,,,YieldSensor,Ertragsfühler,,,b509,0d0500,temp,,D2C,,°C,Temperatur,sensor,,UCH,0=ok;85=circuit;170=cutoff,,Fühlerstatus
w,,install,YieldSensor,Ertragsfühler,,,b509,0e0500,temp,,D2C,,°C,Temperatur,sensor,,UCH,0=ok;85=circuit;170=cutoff,,Fühlerstatus
r,,,CollPump1,Status Kollektorpumpe 1,,,b509,0d0600,value,,UCH,0=off;1=on,,
w,,install,CollPump1,Status Kollektorpumpe 1,,,b509,0e0600,value,,UCH,0=off;1=on,,
r,,,CollPump1ActualPower,akt. Leistung Koll.-Pumpen,,,b509,0d0700,value,,UCH,,%,,ignore,,IGN,,,
w,,install,CollPump1ActualPower,akt. Leistung Koll.-Pumpen,,,b509,0e0700,value,,UCH,,%,,ignore,,IGN,,,
r,,,CollPump2,Status Kollektorpumpe 2,,,b509,0d0800,value,,UCH,0=off;1=on,,
w,,install,CollPump2,Status Kollektorpumpe 2,,,b509,0e0800,value,,UCH,0=off;1=on,,
r,,,ThreeWayValve1,"Umschaltventil Heizen/Warmwasser, UV1",,,b509,0d0900,value,,UCH,0=off;1=on,,
w,,install,ThreeWayValve1,"Umschaltventil Heizen/Warmwasser, UV1",,,b509,0e0900,value,,UCH,0=off;1=on,,
r,,,LegioPump,Status Legionellenpumpe,,,b509,0d0a00,value,,UCH,0=off;1=on,,
