type,circuit,level,name,comment,qq,zz,pbsb,id,*name,part,type,divisor/values,unit,comment
*r,
*w,
*[id_sw],scan,,,,SW
r,,,OutsideTemp,Aussentemperatur: Außentemperatur,,,b509,0d0100,temp,,D2C,,°C,Temperatur,sensor,,UCH,0=ok;85=circuit;170=cutoff,,Fühlerstatus
r,,,FlowTemp,Vorlauftemp. IST: Systemtemperatur in der hydraulischen Weiche oder am gemeinsamen Vorlauf (VF1),,,b509,0d0200,temp,,D2C,,°C,Temperatur,sensor,,UCH,0=ok;85=circuit;170=cutoff,,Fühlerstatus
r,,,SystemTempGradient,SystemTempGradient: gradient of the system temperature (VF1),,,b509,0d8c00,value,,D2C,,°C,Temperatur
r,,,FlowTempDesired,Vorlauftemp. SOLL: Ermittelte Vorlaufsolltemperatur für das System,,,b509,0d0500,value,,D2C,,°C,Temperatur
r,,,StateEM,Status Energiemanger,,,b509,0d4b00,value,,UCH,0=off;1=heat;2=water;3=wateroverrun,,Status des Energiemanagers
r,,,HydraulicMap,Hydraulikplan. Dies ist nor eine Kopie des Wertes von der Grundleiterplatte. Bitte den Wert bei der Grundleiterplatte ändern. Ein Neustart des Systems muß danach erfolgen damit dieser Wert aktualisiert wird.,,,b509,0d1e00,value,,UCH,,,
r,,,PreShutDownTime,Vorabschaltzeit,,,b509,0d2d00,value,,UCH,,min,Minuten
w,,,PreShutDownTime,Vorabschaltzeit,,,b509,0e2d00,value,,UCH,,min,Minuten
r,,,FrostOverRideTime,Frostschutz-Verzögerung,,,b509,0d2e00,value,,UCH,,h,Stunden
w,,,FrostOverRideTime,Frostschutz-Verzögerung,,,b509,0e2e00,value,,UCH,,h,Stunden
r,,,TempIncrease,Temperaturüberhöhung,,,b509,0d2f00,value,,D2C,,°C,Temperatur
w,,,TempIncrease,Temperaturüberhöhung,,,b509,0e2f00,value,,D2C,,°C,Temperatur
r,,,ContinuousHeatingLimit,"AT Durchheizen: -128=off, Unterhalb der hier eingestellten Temperatur wird die Nachtabsenkung unterdrückt. Die Kreise arbeiten mit dem eingestellten Tagsollwert weiter.",,,b509,0d6400,value,,SCH,,,
w,,,ContinuousHeatingLimit,"AT Durchheizen: -128=off, Unterhalb der hier eingestellten Temperatur wird die Nachtabsenkung unterdrückt. Die Kreise arbeiten mit dem eingestellten Tagsollwert weiter.",,,b509,0e6400,value,,SCH,,,
r,,,MixerDetected,Erkannte VR60: detected VR60 (bit counted),,,b509,0d1800,value,,UCH,,,
r,,,BoilerDetected,"Entdeckte Buskoppler: detected bus coppler e.g. VR30,31,32 (bit counted)",,,b509,0d1900,value,,UCH,,,
r,,,RemoteDetected,Erkannte Fernbediengeräte: detected VR80 or VR90 (bit counted),,,b509,0d1a00,value,,UCH,,,
r,,,ActoStorModulDetected,ActoStorModulDetected: detected VLR (bit counted),,,b509,0d5a00,value,,UCH,,,
r,,,AscBigModulDetected,AscBigModulDetected: detected VPM-S (bit counted),,,b509,0d7f00,value,,UCH,,,
r,,,AscSmallModulDetected,AscSmallModulDetected: detected VMS (bit counted),,,b509,0d8000,value,,UCH,,,
r,,,WaterstationModulDetected,FwsModulDetected: detected VPM-W (bit counted),,,b509,0d8100,value,,UCH,,,
