type,circuit,level,name,comment,qq,zz,pbsb,id,*name,part,type,divisor/values,unit,comment
*r,
*w,
*u,
*[cfgheatsinktype],,,cfgheatsinktype,,value
*[id_sw],scan,,,,SW
[cfgheatsinktype=1]r,,,TempDesired,Raumsolltemperatur,,,b509,0d3200,value,,D1C,,°C,Temperatur
[cfgheatsinktype=1]w,,,TempDesired,Raumsolltemperatur,,,b509,0e3200,value,,D1C,,°C,Temperatur
[cfgheatsinktype=1]r,,,TempDesiredLow,Absenktemperatur,,,b509,0d3300,value,,D1C,,°C,Temperatur
[cfgheatsinktype=1]w,,,TempDesiredLow,Absenktemperatur,,,b509,0e3300,value,,D1C,,°C,Temperatur
[cfgheatsinktype=1]r,,,HeatingCurve,Die Heizkurve stellt das Verhältnis zwischen Außentemperatur und Vorlaufsolltemperatur dar. Die Einstellung erfolgt für jeden Heizkreis separat.,,,b509,0d3500,value,,UIN,100,,Heizkurve: Heating curve
[cfgheatsinktype=1]w,,,HeatingCurve,Die Heizkurve stellt das Verhältnis zwischen Außentemperatur und Vorlaufsolltemperatur dar. Die Einstellung erfolgt für jeden Heizkreis separat.,,,b509,0e3500,value,,UIN,100,,Heizkurve: Heating curve
[cfgheatsinktype=2]r,,,TempDesired,Festwert Tag,,,b509,0d3200,value,,D1C,,°C,Temperatur
[cfgheatsinktype=2]w,,,TempDesired,Festwert Tag,,,b509,0e3200,value,,D1C,,°C,Temperatur
[cfgheatsinktype=2]r,,,TempDesiredLow,Festwert Nacht,,,b509,0d3300,value,,D1C,,°C,Temperatur
[cfgheatsinktype=2]w,,,TempDesiredLow,Festwert Nacht,,,b509,0e3300,value,,D1C,,°C,Temperatur
[id_sw<=339]r,,,FloorProtectionLimit,Fußbodenschutztemperatur. Überschreitet die VF2 -IST-Temperatur diesen Wert wird ein Fehler ausgelöst.,,,b509,0d7b01,value,,UCH,,°C,Solltemperatur
[id_sw<=339]w,,install,FloorProtectionLimit,Fußbodenschutztemperatur. Überschreitet die VF2 -IST-Temperatur diesen Wert wird ein Fehler ausgelöst.,,,b509,0e7b01,value,,UCH,,°C,Solltemperatur
[id_sw>=340]r,,,FloorProtectionLimit,Fußbodenschutztemperatur. Überschreitet die VF2 -IST-Temperatur diesen Wert wird ein Fehler ausgelöst.,,,b509,0d7b01,value,,UCH,,°C,Solltemperatur
[id_sw>=350]r,,,CoolingOperatingModeHc2,"CoolingOperatingMode_HK2: Kühlungsbetriebsart: Verfügbare Einstellwerte:3=Auto, 1=An, 2= Aus",,,b509,0d8c01,value,,UCH,0=disabled;1=on;2=off;3=auto,,Warmwasser Modus
[id_sw>=350]w,,,CoolingOperatingModeHc2,"CoolingOperatingMode_HK2: Kühlungsbetriebsart: Verfügbare Einstellwerte:3=Auto, 1=An, 2= Aus",,,b509,0e8c01,value,,UCH,0=disabled;1=on;2=off;3=auto,,Warmwasser Modus
[id_sw>=350]r,,,CoolingSupportedHc2,CoolingSupported_HK2: Gibt an ob der entsprechende Heizkreis für den Kühlbetrieb freigegeben ist. HK2 Wert,,,b509,0d8601,value,,UCH,0=no;1=yes,,
