type,circuit,level,name,comment,qq,zz,pbsb,id,*name,part,type,divisor/values,unit,comment
*r,
*w,
*[id_sw],scan,,,,SW
[id_sw>=401]r,,,HcMaxPreHeating,Max. Voraufheizung: maximum time central heating is released in advance of the first time window (time is adjusted according to current outside temperature),,,b509,0d3800,value,,UCH,-5,min,Minuten
[id_sw>=401]w,,install,HcMaxPreHeating,Max. Voraufheizung: maximum time central heating is released in advance of the first time window (time is adjusted according to current outside temperature),,,b509,0e3800,value,,UCH,-5,min,Minuten
[id_sw<=400]r,,,HcMaxPreHeating,Max. Voraufheizung: The heating start before a time window could shifted forwards maximal this time (related to the outside temperature),,,b509,0d3800,value,,UCH,,h,Stunden
[id_sw<=400]w,,,HcMaxPreHeating,Max. Voraufheizung: The heating start before a time window could shifted forwards maximal this time (related to the outside temperature),,,b509,0e3800,value,,UCH,,h,Stunden
r,,,StatPowerOn,StatPowerOn,,,b509,0dcc00,value,,UIN,,,
r,,,StatOperatingHours,StatOperatingHours,,,b509,0dcd00,value,,UIN,,h,Stunden
r,,,StatMonthOfInstallation,StatMonthOfInstallation,,,b509,0dce00,value,,UCH,,,
r,,,StatYearOfInstallation,StatYearOfInstallation,,,b509,0dcf00,value,,UCH,,,
r,,,Stat15MinBusTimeout,Stat15MinBusTimeout,,,b509,0dd000,value,,UCH,,,
r,,,StatRTOSErrorcode,StatRTOSErrorcode,,,b509,0dd100,value,,UIN,,,
r,,,StatRestarts,StatRestarts,,,b509,0dd200,value,,UIN,,,Anzahl Starts
r,,,StatRTOSErrorCounter,StatRTOSErrorCounter,,,b509,0dd300,value,,UIN,,,
r,,,FlowTemp,VF2 Sensor: Temperature measured on VF2,,,b509,0d0100,temp,,D2C,,°C,Temperatur,sensor,,UCH,0=ok;85=circuit;170=cutoff,,Fühlerstatus
r,,,FlowTempDesired,Vorlaufsolltemperatur: Desired flow temperature of MK1,,,b509,0d4600,value,,D1C,,°C,Temperatur
r,,,TeleSwitch,State of the Teleswitch,,,b509,0d0a00,value,,UCH,0=off;1=on,,
r,,,IsInHoliday,Ferienprogramm aktiv: Every bit of this byte represents a heating circuit; holiday function can be started by setting the HC's corresponding bit,,,b509,0d2700,value,,UCH,,,
r,,,IsInStorageFilling,Speicherladung aktiv: heating circuit is locked because of ongoing tank loading unless parallel loading has been activated,,,b509,0d4700,value,,UCH,0=no;1=yes,,
r,,,CleaningLady,Sparfunktion: saving function is activated until read value * 1/2 h,,,b509,0d4b00,value,,UCH,,,
r,,,IsInParty,Partyfunktion aktiv: Every bit of this byte represents a heating circuit; if bit is set the party function is activated for the corresponding HC,,,b509,0d4e00,value,,UCH,,,
r,,,HcPumpPort,HK2-P: Status of mixer cicuit pump on MK1P,,,b509,0d9100,value,,UCH,0=off;1=on,,
r,,,OtShutdownLimit,"AT-Abschaltgrenze: For outside temperatures higher than this, there is no heat demand generated anymore",,,b509,0d3600,value,,UCH,,°C,Solltemperatur
w,,,OtShutdownLimit,"AT-Abschaltgrenze: For outside temperatures higher than this, there is no heat demand generated anymore",,,b509,0e3600,value,,UCH,,°C,Solltemperatur
r,,,FlowTempMin,Minimaler Vorlaufsollwert: For a heat demand the desired flow temperature will at least be this value,,,b509,0d3000,value,,UCH,,°C,Temperatur
