type,circuit,level,name,comment,qq,zz,pbsb,id,*name,part,type,divisor/values,unit,comment
*r,
*u,
*w,
*uw,
*[Ehp_heatpumptype],Ehp,,heatpumptype,,value
*[id_sw],scan,,,,SW
[Ehp_heatpumptype=3]r,,,SourceTempOutput,OutletTemperature: heat source outlet temperature for water to water machines,,,b509,0d0800,temp,,D2C,,°C,temperature,sensor,,UCH,0=ok;85=circuit;170=cutoff,,sensor status
[Ehp_heatpumptype=3]u,,,SourceTempOutput,OutletTemperature: heat source outlet temperature for water to water machines,,,b509,290800,ign,,IGN:2,,,,temp,,D2C,,°C,temperature,sensor,,UCH,0=ok;85=circuit;170=cutoff,,sensor status
[Ehp_heatpumptype=3]r,,,Source,HeatSourcePump WW: Brine_Pump WW,,,b509,0d1900,value,,UCH,0=off;1=on,,
[Ehp_heatpumptype=3]u,,,Source,HeatSourcePump WW: Brine_Pump WW,,,b509,291900,ign,,IGN:2,,,,value,,UCH,0=off;1=on,,
[Ehp_heatpumptype=3]r,,,Source2Pump,Brine2_P: external Brine or water pump,,,b509,0d1a00,value,,UCH,0=off;1=on,,
[Ehp_heatpumptype=3]r,,,SourceSwitch,FlowSwitch: water flow switch; 1 = switch has tripped,,,b509,0d2600,value,,UCH,0=ok;1=error,,
[Ehp_heatpumptype=3]u,,,SourceSwitch,FlowSwitch: water flow switch; 1 = switch has tripped,,,b509,292600,ign,,IGN:2,,,,value,,UCH,0=ok;1=error,,
[Ehp_heatpumptype=3]r,,,CondensorTemp,T_Condensor_WW: Condensor temperature sensor WW,,,b509,0d0d00,temp,,D2C,,°C,temperature,sensor,,UCH,0=ok;85=circuit;170=cutoff,,sensor status
[Ehp_heatpumptype=3]u,,,CondensorTemp,T_Condensor_WW: Condensor temperature sensor WW,,,b509,290d00,ign,,IGN:2,,,,temp,,D2C,,°C,temperature,sensor,,UCH,0=ok;85=circuit;170=cutoff,,sensor status
[Ehp_heatpumptype=3]r,,,OverpressureThreshold,Overpressure_WW: limit for compressor high pressure which is considered an overpressure situation (for Water/Water machines),,,b509,0d7701,value,,ULG,,mbar,pressure
