type,circuit,level,name,comment,qq,zz,pbsb,id,*name,part,type,divisor/values,unit,comment
*r,
*w,
*u,
r2,,,VentilationLevelDay,Ventilation level day: 1-6,,,b509,0d8a03,value,,UCH,,,
w,,,VentilationLevelDay,Ventilation level day: 1-6,,,b509,0e8a03,value,,UCH,,,
r2,,,VentilationLevelNight,Ventilation level night: 1-6,,,b509,0d8b03,value,,UCH,,,
w,,,VentilationLevelNight,Ventilation level night: 1-6,,,b509,0e8b03,value,,UCH,,,
r2,,,HeatRecovery,Heat recovery,,,b509,0d8c03,value,,UCH,0=auto;1=on;2=off,,
w,,,HeatRecovery,Heat recovery,,,b509,0e8c03,value,,UCH,0=auto;1=on;2=off,,
r9,,,FrostProtection,frost protection element active,,,b509,0df10c,value,,UCH,0=off;1=on,,
u,,,FrostProtection,frost protection element active,,,b509,29f10c,ign,,IGN:2,,,,value,,UCH,0=off;1=on,,
r,,,FilterChangeDaysLeft,Days left until filter change,,,b509,0d350e,value,,UIN,,days,
w,,,FilterChangeDaysLeft,Days left until filter change,,,b509,0e350e,value,,UIN,,days,
r,,,MaintenanceDaysLeft,Days left until maintenance,,,b509,0d360e,value,,UIN,,days,
w,,,MaintenanceDaysLeft,Days left until maintenance,,,b509,0e360e,value,,UIN,,days,
r,,,YieldToday,Energy yield today,,,b509,0d560e,value,,ULG,10,kWh,
r,,,YieldYesterday,Energy yield yesterday,,,b509,0d570e,value,,ULG,10,kWh,
r,,,YieldMonth,Energy yield month,,,b509,0d580e,value,,ULG,10,kWh,
r,,,YieldYear,Energy yield year,,,b509,0d590e,value,,ULG,,kWh,
r,,,YieldTotal,Energy yield total,,,b509,0d5a0e,value,,ULG,,kWh,
r,,,InstallationHeight,Installation height,,,b509,0d1a0e,value,,UIN,,m,
w,,,InstallationHeight,Installation height,,,b509,0e1a0e,value,,UIN,,m,
r,,,ExhaustAirDisbalance,Exhaust air disbalance,,,b509,0d1b0e,value,,SCH,,%,
w,,,ExhaustAirDisbalance,Exhaust air disbalance,,,b509,0e1b0e,value,,SCH,,%,
r,,,NominalFlow,Nominal flow NL,,,b509,0d1c0e,value,,UIN,,m3/h,
w,,,NominalFlow,Nominal flow NL,,,b509,0e1c0e,value,,UIN,,m3/h,
r,,,ReducedVolumeFlow,Reduced ventilation to NL,,,b509,0d1d0e,value,,D2C,,%,
w,,,ReducedVolumeFlow,Reduced ventilation to NL,,,b509,0e1d0e,value,,D2C,,%,
r,,,IntensiveVolumeFlow,Intensive ventilation to NL,,,b509,0d1e0e,value,,D2C,,%,
w,,,IntensiveVolumeFlow,Intensive ventilation to NL,,,b509,0e1e0e,value,,D2C,,%,
r,,,HeadExchangerType,Heat exchanger typ,,,b509,0d250e,value,,UCH,0=Standard;1=Enthalpy,,
w,,,HeadExchangerType,Heat exchanger typ,,,b509,0e250e,value,,UCH,0=Standard;1=Enthalpy,,
r,,,FrostProtectionElement,Frost protection element,,,b509,0d260e,value,,UCH,0=unavailable;1=electrical;2=hydraulic,,
w,,,FrostProtectionElement,Frost protection element,,,b509,0e260e,value,,UCH,0=unavailable;1=electrical;2=hydraulic,,
r,,,AirEarthCollector,Air-earth collector available,,,b509,0d280e,value,,UCH,0=no;1=yes,,
