type,circuit,level,name,comment,qq,zz,pbsb,id,*name,part,type,divisor/values,unit,comment
*r,
*w,
*[id_sw],scan,,,,SW
[id_sw>=201]r,,,DisplayedRoomTemp,DisplayedRoomTemp: displayed room temperature,,,b509,0d3e00,value,,D2C,,°C,temperature
[id_sw=102-131]r,,,RoomTemp,RaumtemperaturIst: raw value current room temperature,,,b509,0d0000,temp,,D2C,,°C,temperature,sensor,,UCH,0=ok;85=circuit;170=cutoff,,sensor status
r,,,OutsideTemp,OutsideTempSensor: current outdoor temperature and sensorstate,,,b509,0d0300,temp,,D2C,,°C,temperature,sensor,,UCH,0=ok;85=circuit;170=cutoff,,sensor status
r,,,OperatingMode,OperatingMode: operating mode,,,b509,0d0500,value,,UCH,0=disabled;1=on;2=off;3=auto;4=eco;5=low,,mixer mode
w,,,OperatingMode,OperatingMode: operating mode,,,b509,0e0500,value,,UCH,0=disabled;1=on;2=off;3=auto;4=eco;5=low,,mixer mode
r,,,ActualWeekday,ActualWeekday: current day of week,,,b509,0d0600,value,,BDY,,,weekday
w,,,ActualWeekday,ActualWeekday: current day of week,,,b509,0e0600,value,,BDY,,,weekday
r,,,Time,current time,,,b509,0d0700,value,,VTI,,,time
w,,,Time,current time,,,b509,0e0700,value,,VTI,,,time
r,,,ReducedNightTemp,ReducedNightTemp: drop temperature setpoint,,,b509,0d0800,value,,D2C,,°C,temperature
w,,,ReducedNightTemp,ReducedNightTemp: drop temperature setpoint,,,b509,0e0800,value,,D2C,,°C,temperature
r,,,YearCalendarActive,YearCalendarActive: enable calendar (=> automatic switching to and fro daylight savings time),,,b509,0d0b00,value,,UCH,0=off;1=on,,
w,,install,YearCalendarActive,YearCalendarActive: enable calendar (=> automatic switching to and fro daylight savings time),,,b509,0e0b00,value,,UCH,0=off;1=on,,
r,,,Date,current date (calendar must be enabled previously!),,,b509,0d0d00,value,,HDA:3,,,date
w,,,Date,current date (calendar must be enabled previously!),,,b509,0e0d00,value,,HDA:3,,,date
r,,,IsInHoliday,Heating curve: holiday function - remaining days,,,b509,0d1100,value,,UCH,,,
r,,,IsInQuickVeto,IsInQuickVeto: temperature override (quick veto),,,b509,0d1600,value,,UCH,0=off;1=on,,
r,,,QuickVetoTemp,QuickVetoTemp: room temperature setpoint during activated quick veto function,,,b509,0d1700,value,,D2C,,°C,temperature
r,,,HwcTempDesired,DesiredDHWTemp: DHW setpoint,,,b509,0d1e00,value,,D2C,,°C,temperature
w,,,HwcTempDesired,DesiredDHWTemp: DHW setpoint,,,b509,0e1e00,value,,D2C,,°C,temperature
r,,,ComfTempDesired,DesiredComfTemp,,,b509,0d2000,temp,,D2C,,°C,room temperature setpoint,temp_1,,D2C,,°C,temperature,temp_2,,D2C,,°C,temperature,temp_3,,D2C,,°C,temperature
w,,,ComfTempDesired,DesiredComfTemp,,,b509,0e2000,temp,,D2C,,°C,room temperature setpoint,temp_1,,D2C,,°C,temperature,temp_2,,D2C,,°C,temperature,temp_3,,D2C,,°C,temperature
r,,,RoomTempOffset,RaumtemperaturIstOffset: room temperature correction,,,b509,0d0200,value,,D2C,,°C,temperature
w,,install,RoomTempOffset,RaumtemperaturIstOffset: room temperature correction,,,b509,0e0200,value,,D2C,,°C,temperature
