type,circuit,level,name,comment,qq,zz,pbsb,id,*name,part,type,divisor/values,unit,comment
*r,
*w,
r,,,Storage1Sensor,Cyl. temp. probe 1,,,b509,0d0000,temp,,D2C,,°C,temperature,sensor,,UCH,0=ok;85=circuit;170=cutoff,,sensor status
w,,install,Storage1Sensor,Cyl. temp. probe 1,,,b509,0e0000,temp,,D2C,,°C,temperature,sensor,,UCH,0=ok;85=circuit;170=cutoff,,sensor status
r,,,Storage2Sensor,Cyl. temp. probe 2,,,b509,0d0100,temp,,D2C,,°C,temperature,sensor,,UCH,0=ok;85=circuit;170=cutoff,,sensor status
w,,install,Storage2Sensor,Cyl. temp. probe 2,,,b509,0e0100,temp,,D2C,,°C,temperature,sensor,,UCH,0=ok;85=circuit;170=cutoff,,sensor status
r,,,Storage3Sensor,Cyl. temp. probe 3,,,b509,0d0200,temp,,D2C,,°C,temperature,sensor,,UCH,0=ok;85=circuit;170=cutoff,,sensor status
w,,install,Storage3Sensor,Cyl. temp. probe 3,,,b509,0e0200,temp,,D2C,,°C,temperature,sensor,,UCH,0=ok;85=circuit;170=cutoff,,sensor status
r,,,Coll1Sensor,Solar panel temp. 1,,,b509,0d0300,temp,,D2C,,°C,temperature,sensor,,UCH,0=ok;85=circuit;170=cutoff,,sensor status
w,,install,Coll1Sensor,Solar panel temp. 1,,,b509,0e0300,temp,,D2C,,°C,temperature,sensor,,UCH,0=ok;85=circuit;170=cutoff,,sensor status
r,,,Coll2Sensor,Solar panel temp. 2,,,b509,0d0400,temp,,D2C,,°C,temperature,sensor,,UCH,0=ok;85=circuit;170=cutoff,,sensor status
w,,install,Coll2Sensor,Solar panel temp. 2,,,b509,0e0400,temp,,D2C,,°C,temperature,sensor,,UCH,0=ok;85=circuit;170=cutoff,,sensor status
r,,,YieldSensor,Solar gain probe,,,b509,0d0500,temp,,D2C,,°C,temperature,sensor,,UCH,0=ok;85=circuit;170=cutoff,,sensor status
w,,install,YieldSensor,Solar gain probe,,,b509,0e0500,temp,,D2C,,°C,temperature,sensor,,UCH,0=ok;85=circuit;170=cutoff,,sensor status
r,,,CollPump1,Status solar panel pump 1,,,b509,0d0600,value,,UCH,0=off;1=on,,
w,,install,CollPump1,Status solar panel pump 1,,,b509,0e0600,value,,UCH,0=off;1=on,,
r,,,CollPump1ActualPower,Current power solar pumps,,,b509,0d0700,value,,UCH,,%,,ignore,,IGN,,,
w,,install,CollPump1ActualPower,Current power solar pumps,,,b509,0e0700,value,,UCH,,%,,ignore,,IGN,,,
r,,,CollPump2,Status solar panel pump 2,,,b509,0d0800,value,,UCH,0=off;1=on,,
w,,install,CollPump2,Status solar panel pump 2,,,b509,0e0800,value,,UCH,0=off;1=on,,
r,,,ThreeWayValve1,UV 1,,,b509,0d0900,value,,UCH,0=off;1=on,,
w,,install,ThreeWayValve1,UV 1,,,b509,0e0900,value,,UCH,0=off;1=on,,
r,,,LegioPump,Status legionella pump,,,b509,0d0a00,value,,UCH,0=off;1=on,,
w,,install,LegioPump,Status legionella pump,,,b509,0e0a00,value,,UCH,0=off;1=on,,
r,,,CirPump,Circulation pump,,,b509,0d0b00,value,,UCH,0=off;1=on,,
w,,install,CirPump,Circulation pump,,,b509,0e0b00,value,,UCH,0=off;1=on,,
