type,circuit,level,name,comment,qq,zz,pbsb,id,*name,part,type,divisor/values,unit,comment
*r,
*w,
*[id_sw],scan,,,,SW
r,,,OutsideTemp,Aussentemperatur: out door temperature,,,b509,0d0100,temp,,D2C,,°C,temperature,sensor,,UCH,0=ok;85=circuit;170=cutoff,,sensor status
r,,,FlowTemp,SystemFlowTemp: system temperature at the hydraulic diverter (VF1),,,b509,0d0200,temp,,D2C,,°C,temperature,sensor,,UCH,0=ok;85=circuit;170=cutoff,,sensor status
r,,,SystemTempGradient,SystemTempGradient: gradient of the system temperature (VF1),,,b509,0d8c00,value,,D2C,,°C,temperature
r,,,FlowTempDesired,SystemDesiredFlowTemp: system desired flow temperature,,,b509,0d0500,value,,D2C,,°C,temperature
r,,,StateEM,StateEM,,,b509,0d4b00,value,,UCH,0=off;1=heat;2=water;3=wateroverrun,,"OFF=0, CH=1, DHW=2, DHW-Overrun=3"
r,,,HydraulicMap,SolarHydraulicMap: hydraulic scheme (1..9); this parameter has to change at the IO-pcb,,,b509,0d1e00,value,,UCH,,,
r,,,PreShutDownTime,PreShutDownTime,,,b509,0d2d00,value,,UCH,,min,minutes
w,,,PreShutDownTime,PreShutDownTime,,,b509,0e2d00,value,,UCH,,min,minutes
r,,,FrostOverRideTime,FrostOverRideTime,,,b509,0d2e00,value,,UCH,,h,hours
w,,,FrostOverRideTime,FrostOverRideTime,,,b509,0e2e00,value,,UCH,,h,hours
r,,,TempIncrease,TempIncrease,,,b509,0d2f00,value,,D2C,,°C,temperature
w,,,TempIncrease,TempIncrease,,,b509,0e2f00,value,,D2C,,°C,temperature
r,,,ContinuousHeatingLimit,"ContinuousHeatingLimit: -128=off, (0x80, -128 = off)",,,b509,0d6400,value,,SCH,,,
w,,,ContinuousHeatingLimit,"ContinuousHeatingLimit: -128=off, (0x80, -128 = off)",,,b509,0e6400,value,,SCH,,,
r,,,MixerDetected,Mk2Detected: detected VR60 (bit counted),,,b509,0d1800,value,,UCH,,,
r,,,BoilerDetected,"BkDetected: detected bus coppler e.g. VR30,31,32 (bit counted)",,,b509,0d1900,value,,UCH,,,
r,,,RemoteDetected,FbgDetected: detected VR80 or VR90 (bit counted),,,b509,0d1a00,value,,UCH,,,
r,,,ActoStorModulDetected,ActoStorModulDetected: detected VLR (bit counted),,,b509,0d5a00,value,,UCH,,,
r,,,AscBigModulDetected,AscBigModulDetected: detected VPM-S (bit counted),,,b509,0d7f00,value,,UCH,,,
r,,,AscSmallModulDetected,AscSmallModulDetected: detected VMS (bit counted),,,b509,0d8000,value,,UCH,,,
r,,,WaterstationModulDetected,FwsModulDetected: detected VPM-W (bit counted),,,b509,0d8100,value,,UCH,,,
r,,,BoilerCount,NumberOfBoiler: active boiler in the system,,,b509,0d1c00,value,,UCH,,,
r,,,BoilerSwitchSteps,BoilerSwitchSteps: set of the steps from the switching boiler,,,b509,0d3500,value,,UCH,,,
w,,install,BoilerSwitchSteps,BoilerSwitchSteps: set of the steps from the switching boiler,,,b509,0e3500,value,,UCH,,,
r,,,SourceType,SourceType,,,b509,0d4e00,value,,UCH,0=noSystem;1=SSR;2=VRC;3=eSys;4=mixedSys,,"noSystem=0, SSR=1, VRC=2, eSys=3, mixedSys=4"
