type,circuit,level,name,comment,qq,zz,pbsb,id,*name,part,type,divisor/values,unit,comment
*r,
*w,
*uw,
*[id_sw],scan,,,,SW
[id_sw>=104]r,,,SourceInputSensorOffset,AirInletSensor_Offset: calibration value for air inlet sensor,,,b509,0d4a00,value,,D2C,,°C,temperature
[id_sw>=104]w,,install,SourceInputSensorOffset,AirInletSensor_Offset: calibration value for air inlet sensor,,,b509,0e4a00,value,,D2C,,°C,temperature
[id_sw>=104]r,,,SourceInputSensorOffsetBrine,Brine_warmSensor_Offset: calibration value for brine sensor,,,b509,0d4b00,value,,D2C,,°C,temperature
[id_sw>=104]w,,install,SourceInputSensorOffsetBrine,Brine_warmSensor_Offset: calibration value for brine sensor,,,b509,0e4b00,value,,D2C,,°C,temperature
[id_sw>=104]r,,,DeiceTimeMax,"MaxDeiceTime: max. deicing time. By exceeding this value, message unsuccessful deicing is released",,,b509,0d4500,value,,UIN,,min,minutes
[id_sw>=104]w,,install,DeiceTimeMax,"MaxDeiceTime: max. deicing time. By exceeding this value, message unsuccessful deicing is released",,,b509,0e4500,value,,UIN,,min,minutes
[id_sw>=104]r,,,DeicePeriodMin,"MinDeicePeriod: Min. time between deicings. If time is shorter, something is wrong",,,b509,0d4600,value,,UIN,,min,minutes
[id_sw>=104]w,,install,DeicePeriodMin,"MinDeicePeriod: Min. time between deicings. If time is shorter, something is wrong",,,b509,0e4600,value,,UIN,,min,minutes
[id_sw>=104]r,,,DeicefinishTemp,TDeicefinish: stops automatic defrosting process,,,b509,0d2900,value,,D2C,,°C,temperature
[id_sw>=104]w,,install,DeicefinishTemp,TDeicefinish: stops automatic defrosting process,,,b509,0e2900,value,,D2C,,°C,temperature
[id_sw>=104]r,,,DeltaTMax,MaxDeltaT: start defrost process when temperature difference between air and brine is above this setpoint,,,b509,0d2800,value,,D2C,,°C,temperature
[id_sw>=104]w,,install,DeltaTMax,MaxDeltaT: start defrost process when temperature difference between air and brine is above this setpoint,,,b509,0e2800,value,,D2C,,°C,temperature
[id_sw>=104]r,,,DeiceOnTemp,TDeiceOn: above this air temperature ice is quite unusual,,,b509,0d2700,value,,D2C,,°C,temperature
[id_sw>=104]w,,install,DeiceOnTemp,TDeiceOn: above this air temperature ice is quite unusual,,,b509,0e2700,value,,D2C,,°C,temperature
[id_sw>=104]r,,,OnlyFanTemp,"TOnlyFan: above this air temperature, the defroster is not used for defrosting, only fan",,,b509,0d2600,value,,D2C,,°C,temperature
[id_sw>=104]w,,install,OnlyFanTemp,"TOnlyFan: above this air temperature, the defroster is not used for defrosting, only fan",,,b509,0e2600,value,,D2C,,°C,temperature
[id_sw>=104]r,,,DeiceWFanHyst,DeiceWFanHyst: remaining temperature difference to air inlet while fan defrosting,,,b509,0d2400,value,,D2C,,°C,temperature
[id_sw>=104]w,,install,DeiceWFanHyst,DeiceWFanHyst: remaining temperature difference to air inlet while fan defrosting,,,b509,0e2400,value,,D2C,,°C,temperature
[id_sw>=104]r,,,DeiceRequestHyst,DeiceRequestHyst: for stable frost detection,,,b509,0d2300,value,,D2C,,°C,temperature
[id_sw>=104]w,,install,DeiceRequestHyst,DeiceRequestHyst: for stable frost detection,,,b509,0e2300,value,,D2C,,°C,temperature
