type,circuit,level,name,comment,qq,zz,pbsb,id,*name,part,type,divisor/values,unit,comment
*r,
*w,
*[id_sw],scan,,,,SW
[id_sw<=140]r,,,RoomTemp,Aktuelle Raumtemperatur,,,b509,0d0f00,temp,,D2C,,°C,Temperatur,sensor,,UCH,0=ok;85=circuit;170=cutoff,,Fühlerstatus
[id_sw<=140]w,,install,RoomTemp,Aktuelle Raumtemperatur,,,b509,0e0f00,temp,,D2C,,°C,Temperatur,sensor,,UCH,0=ok;85=circuit;170=cutoff,,Fühlerstatus
[id_sw>=141]r,,,DisplayedRoomTemp,service level register,,,b509,0d6600,value,,D2C,,°C,Temperatur
[id_sw>=141]w,,service,DisplayedRoomTemp,service level register,,,b509,0e6600,value,,D2C,,°C,Temperatur
r,,,ResvdStorage1Sensor,installer level register,,,b509,0d0000,temp,,D2C,,°C,Temperatur,sensor,,UCH,0=ok;85=circuit;170=cutoff,,Fühlerstatus
w,,install,ResvdStorage1Sensor,installer level register,,,b509,0e0000,temp,,D2C,,°C,Temperatur,sensor,,UCH,0=ok;85=circuit;170=cutoff,,Fühlerstatus
r,,,ResvdStorage2Sensor,installer level register,,,b509,0d0100,temp,,D2C,,°C,Temperatur,sensor,,UCH,0=ok;85=circuit;170=cutoff,,Fühlerstatus
w,,install,ResvdStorage2Sensor,installer level register,,,b509,0e0100,temp,,D2C,,°C,Temperatur,sensor,,UCH,0=ok;85=circuit;170=cutoff,,Fühlerstatus
r,,,ResvdStorage3Sensor,installer level register,,,b509,0d0200,temp,,D2C,,°C,Temperatur,sensor,,UCH,0=ok;85=circuit;170=cutoff,,Fühlerstatus
w,,install,ResvdStorage3Sensor,installer level register,,,b509,0e0200,temp,,D2C,,°C,Temperatur,sensor,,UCH,0=ok;85=circuit;170=cutoff,,Fühlerstatus
r,,,ResvdColl1Sensor,installer level register,,,b509,0d0300,temp,,D2C,,°C,Temperatur,sensor,,UCH,0=ok;85=circuit;170=cutoff,,Fühlerstatus
w,,install,ResvdColl1Sensor,installer level register,,,b509,0e0300,temp,,D2C,,°C,Temperatur,sensor,,UCH,0=ok;85=circuit;170=cutoff,,Fühlerstatus
r,,,ResvdColl2Sensor,installer level register,,,b509,0d0400,temp,,D2C,,°C,Temperatur,sensor,,UCH,0=ok;85=circuit;170=cutoff,,Fühlerstatus
w,,install,ResvdColl2Sensor,installer level register,,,b509,0e0400,temp,,D2C,,°C,Temperatur,sensor,,UCH,0=ok;85=circuit;170=cutoff,,Fühlerstatus
r,,,YieldSensor,installer level register,,,b509,0d0500,temp,,D2C,,°C,Temperatur,sensor,,UCH,0=ok;85=circuit;170=cutoff,,Fühlerstatus
w,,install,YieldSensor,installer level register,,,b509,0e0500,temp,,D2C,,°C,Temperatur,sensor,,UCH,0=ok;85=circuit;170=cutoff,,Fühlerstatus
r,,,ResvdCollPump1,installer level register,,,b509,0d0600,value,,UCH,,,
w,,install,ResvdCollPump1,installer level register,,,b509,0e0600,value,,UCH,,,
r,,,ActualPumpPower,,,,b509,0d0700,value,,HEX:2,,,
w,,install,ActualPumpPower,,,,b509,0e0700,value,,HEX:2,,,
r,,,ResvdCollPump2,installer level register,,,b509,0d0800,value,,UCH,,,
w,,install,ResvdCollPump2,installer level register,,,b509,0e0800,value,,UCH,,,
