type,circuit,level,name,comment,qq,zz,pbsb,id,*name,part,type,divisor/values,unit,comment
*r,
*w,
r,,,FlowDemand,FlowDemand: vom UI,,,b509,0d2700,value,,UCH,0=off;1=on,,
r,,,BoilerDemand,BurnerDemand: von der BMU,,,b509,0d4f00,value,,UCH,0=off;1=on,,
r,,,B1Press,P_B1: Pumpe Kondensatorkreis,,,b509,0d5c00,value,,UCH,0=off;1=on,,
r,,,PrimaryCircuitPump2Power,PrimaryCircuitPump2Power: aktuelle Leistung in %,,,b509,0d5f00,value,,UIN,,,
r,,,B2Press,P_B2: Pumpe Umweltkreis,,,b509,0d6000,value,,UCH,,,
r,,,SMPrimaryCircuitCycleOKState,SM_PrimaryCircuitCycle_OKState: Prozesszustand,,,b509,0d6200,value,,UCH,,,
r,,,Pos1,Pos1: Umschalterposition Direktheizbetrieb,,,b509,0d6500,value,,UCH,0=off;1=on,,
r,,,Pos2,Pos2: Umschalterposition Desorption mit Bypass,,,b509,0d6600,value,,UCH,0=off;1=on,,
r,,,PrimaryCircuitCycleState,PrimaryCircuitCycleState,,,b509,0d6800,value,,UCH,,,
r,,,VentilatorRelease,Ventilatorfreigabe: Kollektorventilator,,,b509,0d6a00,value,,UCH,0=off;1=on,,
r,,,FlowPumpP1,Volumenstrom_P_P1: in %,,,b509,0d6b00,value,,UIN,,,
r,,,FlowPumpP2,Volumenstrom_P_P2: in %,,,b509,0d6c00,value,,UIN,,,
r,,,ManualContinue,man_weiter,,,b509,0d7000,value,,UCH,0=off;1=on,,
w,,service,ManualContinue,man_weiter,,,b509,0e7000,value,,UCH,0=off;1=on,,
r,,,HeatDemand,W_Anfo,,,b509,0d7200,value,,UCH,0=off;1=on,,
r,,,Source,Quelle: 1=DHB 2=Kollektorbetrieb 3=Wärmetauscherbetrieb,,,b509,0d7300,value,,UCH,,,
r,,,PrimaryCircuitPumpsControlState,PrimaryCircuitPumpsControlState,,,b509,0d7400,value,,UCH,,,
r,,,PlValve,V_Pl: Primärkreisumschalter Linkslauf,,,b509,0d7700,value,,UCH,0=off;1=on,,
r,,,PrValve,V_Pr: Primärkreisumschalter Rechtslauf,,,b509,0d7800,value,,UCH,0=off;1=on,,
r,,,TestMode,testbetrieb,,,b509,0d7a00,value,,UCH,0=off;1=on,,
r,,,HwcDemand,BW_Anfo,,,b509,0d7b00,value,,UCH,0=off;1=on,,
r,,,BrDemand,Br_Anfo: Ansteuerung Gasventil,,,b509,0d8200,value,,UCH,0=off;1=on,,
r,,,DesiredPositionReached,DesiredPositionReached,,,b509,0d8300,value,,UCH,0=off;1=on,,
r,,,GFAError,GFA_Stoerung,,,b509,0d8500,value,,UCH,0=off;1=on,,
r,,,TadsOff,Tads_aus: °C,,,b509,0d8600,value,,D2C,,°C,temperature
r,,,MSWMax,MSW_max: in %,,,b509,0d8800,value,,UCH,,,
r,,,TdesOn,Tdes_ein: °C,,,b509,0d8900,value,,D2C,,°C,temperature
r,,,ActualEnvironmentalPower,ActualEnvironmentalPower: in kW (Näherungswert),,,b509,0d8a00,value,,UCH,,kW,
r,,,PWTDesired,PWT_Soll: °C,,,b509,0d8b00,value,,D2C,,°C,temperature
r,,,PrimVol,Prim_Vol: in %,,,b509,0d8c00,value,,UCH,,,
